Year,State,Total Area of State,Area_aff,Wages
2019,Andaman And Nicobar Islands,6308.9,0,346
2019,Andhra Pradesh,6091603.069,1.67,292
2019,Arunachal Pradesh,507239.6357,0.01,282
2019,Assam,3264869.728,0.31,253
2019,Bihar,7396922.588,0,237
2019,Chandigarh,1426,0,341
2019,Chhattisgarh,5678400.525,0,174
2019,Dadra And Nagar Haveli,70014.87075,0,326
2019,Delhi,33332,0,296
2019,Goa,40077.4,0,319
2019,Gujarat,10242633.49,0,189
2019,Haryana,6503550.725,0,361
2019,Himachal Pradesh,713950,0.45,277
2019,Jammu And Kashmir,1184409.302,0,257
2019,Jharkhand,3005564,0,233
2019,Karnataka,10678278.56,3.63,338
2019,Kerala,685554.8719,1,636
2019,Ladakh,882838.8742,0,257
2019,Madhya Pradesh,23491090,0,228
2019,Maharashtra,21264082.53,0,225
2019,Manipur,239996.8,0.06,463
2019,Meghalaya,189832.698,0.02,466
2019,Mizoram,393989.9093,0,312
2019,Nagaland,421920,0.05,292
2019,Odisha,5774506.155,3.9,284
2019,Puducherry,433060.5086,0,312
2019,Punjab,7356807.588,0.52,398
2019,Rajasthan,22779506.44,0,319
2019,Sikkim,207971.6425,0,478
2019,Tamil Nadu,4903585.144,1.22,275
2019,Telangana,6155092.365,0,304
2019,Tripura,326795,0.32,280
2019,Uttar Pradesh,24639768.51,2.9,229
2019,Uttarakhand,923000,0.55,271
2019,West Bengal,9068906.327,0.49,237
2020,Andaman And Nicobar Islands,6950.5,0,346
2020,Andhra Pradesh,6106083.739,0,292
2020,Arunachal Pradesh,447386.7965,0,313
2020,Assam,3295008.992,2,253
2020,Bihar,7439984.042,2.61,237
2020,Chandigarh,634,0,346
2020,Chhattisgarh,5655586.763,0.02,174
2020,Dadra And Nagar Haveli,251015.7016,0,478
2020,Delhi,33340,0,346
2020,Goa,37136,0,319
2020,Gujarat,10819093.92,0,189
2020,Haryana,6496741.1,0,361
2020,Himachal Pradesh,739364,0,277
2020,Jammu And Kashmir,1126912.793,0,259
2020,Jharkhand,3324619,0,233
2020,Karnataka,11390474.57,9.35,338
2020,Kerala,787802.0825,0.36,636
2020,Ladakh,817559.1095,0,321
2020,Madhya Pradesh,23901000,60.47,228
2020,Maharashtra,22121556.15,4.17,225
2020,Manipur,327510,0,314
2020,Meghalaya,-9121.294061,0,346
2020,Mizoram,406414.5683,0,313
2020,Nagaland,421815,0,313
2020,Odisha,5894462.583,1.49,284
2020,Puducherry,360928.0734,0,314
2020,Punjab,7360360.74,1.51,398
2020,Rajasthan,22359065.3,23.92,319
2020,Sikkim,170484.0528,0,489
2020,Tamil Nadu,4997218.412,0,275
2020,Telangana,7265620.165,0,304
2020,Tripura,331489,0.01,280
2020,Uttar Pradesh,24499904.34,8.3,229
2020,Uttarakhand,882000,0,271
2020,West Bengal,9069637.193,0.08,237
2021,Andaman And Nicobar Islands,7096.83,0,374
2021,Andhra Pradesh,5581000,6.81,292
2021,Arunachal Pradesh,246194,0.28,492
2021,Assam,3025734,2.67,253
2021,Bihar,6909227,7.41,237
2021,Chandigarh,638,0,374
2021,Chhattisgarh,4957850,0,174
2021,Dadra And Nagar Haveli,107204.3816,0,374
2021,Delhi,32780,0,374
2021,Goa,36764,0,319
2021,Gujarat,10732770,0,189
2021,Haryana,5821790,0,361
2021,Himachal Pradesh,723042,0.24,277
2021,Jammu And Kashmir,922352,0,255
2021,Jharkhand,3328081,0,233
2021,Karnataka,10568300,14.32,338
2021,Kerala,244002.9985,0,636
2021,Ladakh,15586.8,0,374
2021,Madhya Pradesh,24068100,6.68,228
2021,Maharashtra,22292090,11.28,225
2021,Manipur,300880,0,330
2021,Meghalaya,183297,0,516
2021,Mizoram,50177,0,374
2021,Nagaland,220891,0,514
2021,Odisha,5410830,1.8,284
2021,Puducherry,21604,0.02,369
2021,Punjab,7067800,1.23,398
2021,Rajasthan,23659439,0,319
2021,Sikkim,60374,0.02,369
2021,Tamil Nadu,4703790,4.63,275
2021,Telangana,7036000,2.39,304
2021,Tripura,318797,0,280
2021,Uttar Pradesh,22967000,1.08,229
2021,Uttarakhand,861000,0,271
2021,West Bengal,8645843,5.71,237
2022,Andaman And Nicobar Islands,5675.39,0,389
2022,Andhra Pradesh,5203000,2.38,292
2022,Arunachal Pradesh,275956,0.02,505
2022,Assam,3002100,0.1,253
2022,Bihar,6713453,7.06,237
2022,Chandigarh,665,0,389
2022,Chhattisgarh,4877210,0,174
2022,Dadra And Nagar Haveli,18628,0,389
2022,Delhi,27483.24,0,389
2022,Goa,35676,0,319
2022,Gujarat,10444280,1.49,189
2022,Haryana,6099917,0,361
2022,Himachal Pradesh,703860,0.06,277
2022,Jammu And Kashmir,924417,0,258
2022,Jharkhand,2505414,0,233
2022,Karnataka,10682500,11.35,338
2022,Kerala,194923.2,0.85,636
2022,Ladakh,16679.12,0,389
2022,Madhya Pradesh,26696700,1.06,228
2022,Maharashtra,22105840,2.41,225
2022,Manipur,290400,0,348
2022,Meghalaya,172014,0,529
2022,Mizoram,55544,0,389
2022,Nagaland,349989,0.17,319
2022,Odisha,5495290,1.82,284
2022,Puducherry,23989,0.04,380
2022,Punjab,7171490,0.04,398
2022,Rajasthan,25261799,6.47,319
2022,Sikkim,56797.4,0.02,384
2022,Tamil Nadu,4615580,0.83,275
2022,Telangana,8041975,0,304
2022,Tripura,293733,0,280
2022,Uttar Pradesh,24850050,3.61,229
