Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,cost_of_prod,Harvest_Price
Bajra,Andhra Pradesh,2019,25000,58200,2328,2000,2.567726027,1288.21,2043.45
Bajra,Bihar,2019,3159,3582,1134,2000,3.32509589,1752.99,1181
Bajra,Chhattisgarh,2019,0,0,0,2000,3.877863014,1770.29,2600
Bajra,Dadra And Nagar Haveli,2019,52314.87075,1227439.268,9375.547154,2000,10.46120548,1068.02,1957.06
Bajra,Delhi,2019,1475,3240,2197,2000,1.368410959,1338.78,1970.12
Bajra,Gujarat,2019,435250,913155,2098,2000,2.93460274,981,1911.09
Bajra,Haryana,2019,492800,1019110,2068,2000,1.095753425,1078,1932.74
Bajra,Himachal Pradesh,2019,107,109,1020,2000,3.314136986,1747.47,1762.98
Bajra,Jammu And Kashmir,2019,9779,5819,595,2000,3.29139726,1749.85,1977.33
Bajra,Jharkhand,2019,288,205,711,2000,3.205917808,1689.08,1889.28
Bajra,Karnataka,2019,322000,367080,1140,2000,3.678,1725.19,1992.25
Bajra,Kerala,2019,225487.4774,2199312.043,10050.73788,2000,7.62169863,1004.52,2157.41
Bajra,Madhya Pradesh,2019,295890,656580,2219,2000,3.862794521,1333.8,2018.75
Bajra,Maharashtra,2019,672780,511986,761,2000,4.069369863,1573,2119.38
Bajra,Nagaland,2019,710,720,1014,2000,4.291726027,1773.27,2052.32
Bajra,Odisha,2019,1870,1159,620,2000,4.413178082,1768.45,2455.82
Bajra,Puducherry,2019,22,57,2591,2000,3.491369863,1312.6,2101.37
Bajra,Punjab,2019,500,318,635,2000,1.941232877,1672.46,1488
Bajra,Rajasthan,2019,4287170,4685877,1093,2000,1.792739726,857,1493
Bajra,Tamil Nadu,2019,67490,185125,2743,2000,2.565068493,1334.92,2067.41
Bajra,Telangana,2019,9000,10422,1158,2000,3.049972603,1709.29,1942.65
Bajra,Uttar Pradesh,2019,917000,1939455,2115,2000,2.394109589,809,1939.58
Bajra,West Bengal,2019,68,27,401,2000,4.697041096,1765.43,2871.52
Barley,Bihar,2019,7449,10198,1369,1525,3.32509589,1686.58,2358.12
Barley,Chhattisgarh,2019,1670,1017,609,1525,3.877863014,1777.51,2487
Barley,Delhi,2019,60,180,3000,1525,1.368410959,1026.03,1792.18
Barley,Haryana,2019,12120,46504,3837,1525,1.095753425,1032.36,1906
Barley,Himachal Pradesh,2019,20404,30810,1510,1525,3.314136986,1599,2271
Barley,Jammu And Kashmir,2019,7488,4485,599,1525,3.29139726,1766.71,2264.89
Barley,Ladakh,2019,0,0,0,1525,1.420876712,1716.64,2081.08
Barley,Madhya Pradesh,2019,30000,63930,2131,1525,3.862794521,1423.41,2329.21
Barley,Punjab,2019,6200,22593,3644,1525,1.941232877,1028.26,1798.73
Barley,Rajasthan,2019,301240,979331,3251,1525,1.792739726,849,2041.9
Barley,Sikkim,2019,401,462,1151,1525,8.967835616,1780.75,2294.22
Barley,Uttar Pradesh,2019,167000,523044,3132,1525,2.394109589,834,1865.45
Barley,Uttarakhand,2019,24000,34344,1431,1525,4.201315068,1668.77,2365.58
Barley,West Bengal,2019,278,599,2155,1525,4.697041096,1313.28,2403.94
Castorseed,Andhra Pradesh,2019,38000,25992,684,5556,2.567726027,3690.39,4960.488
Castorseed,Assam,2019,748,338,452,5556,5.826712329,4005.19,7733
Castorseed,Bihar,2019,87,84,966,5525,3.32509589,3023.81,7767.39
Castorseed,Gujarat,2019,736590,1431931,1944,1909.8,2.93460274,1582.53,4804
Castorseed,Haryana,2019,4200,4318,1028,5517.65,1.095753425,2987.73,4747.670333
Castorseed,Jharkhand,2019,58,34,594,5556,3.205917808,3966.96,8088.43
Castorseed,Karnataka,2019,4000,3880,970,5572.57,3.678,3315.71,4342.58
Castorseed,Madhya Pradesh,2019,7000,2730,390,5556,3.862794521,4168.12,4524.06
Castorseed,Maharashtra,2019,10630,3242,305,5556,4.069369863,4260.63,4382.32
Castorseed,Meghalaya,2019,70,63,903,5556,10.57309589,3426.01,7099.2
Castorseed,Nagaland,2019,360,240,667,5556,4.291726027,4055.76,7108.6
Castorseed,Odisha,2019,6790,4244,625,5556,4.413178082,4125.99,4342.73
Castorseed,Rajasthan,2019,204318,326500,1598,4527.75,1.792739726,2102.58,4533.49
Castorseed,Tamil Nadu,2019,5260,1641,312,5556,2.565068493,4082.26,4556
Castorseed,Telangana,2019,28000,36680,1310,5511.4,3.049972603,2996.9,4896.575833
Cotton,Andhra Pradesh,2019,657000,2508000,649,5550,2.567726027,3344,5229.413167
Cotton,Assam,2019,0,0,0,5550,5.826712329,4085.31,4733
Cotton,Chhattisgarh,2019,0,0,0,5550,3.877863014,4213.01,1813
Cotton,Gujarat,2019,2655000,8617000,552,5550,2.93460274,2998,3638
Cotton,Gujarat,2019,2655000,8617000,552,5550,2.93460274,2998,4981
Cotton,Haryana,2019,723000,2484000,584,5550,1.095753425,2729,5476
Cotton,Haryana,2019,723000,2484000,584,5550,1.095753425,2729,5300
Cotton,Karnataka,2019,817000,2330000,485,5550,3.678,3253,4631.601
Cotton,Kerala,2019,0,0,0,5550,7.62169863,4091.35,4600.39
Cotton,Madhya Pradesh,2019,650000,1646000,430,5550,3.862794521,2625,4903
Cotton,Maharashtra,2019,4491000,6639000,251,5550,4.069369863,3982,4762.128333
Cotton,Meghalaya,2019,0,0,0,5550,10.57309589,4091.35,4600.39
Cotton,Mizoram,2019,0,0,0,5550,5.126410959,4086.63,4603.93
Cotton,Nagaland,2019,0,0,0,5550,4.291726027,4250.12,3716.43
Cotton,Odisha,2019,170000,579000,579,5550,4.413178082,4081.29,4529.625
Cotton,Puducherry,2019,0,0,0,5550,3.491369863,4101.77,4499
Cotton,Punjab,2019,248000,1206000,827,5550,1.941232877,3050,5258
Cotton,Punjab,2019,248000,1206000,827,5550,1.941232877,3050,5485
Cotton,Rajasthan,2019,760000,2788000,624,5550,1.792739726,2457,5506
Cotton,Tamil Nadu,2019,170000,418000,418,5550,2.565068493,4282,5269
Cotton,Telangana,2019,2127000,6833000,546,5550,3.049972603,3008,4543.866
Cotton,Tripura,2019,0,0,0,5550,6.345205479,4091.35,4615.95
Cotton,Uttar Pradesh,2019,0,0,0,5550,2.394109589,4069.46,5360.43
Cotton,West Bengal,2019,0,0,0,5550,4.697041096,4120.91,3742.17
Gram,Andhra Pradesh,2019,459000,559062,1218,4875,2.567726027,3052,4506.38
Gram,Assam,2019,2176,1519,698,4875,5.826712329,3603.75,4716
Gram,Bihar,2019,52802,38545,730,4875,3.32509589,2304.73,5205.7
Gram,Chhattisgarh,2019,381770,88189,231,4875,3.877863014,2266,5276.055833
Gram,Delhi,2019,2,4,2000,4875,1.368410959,2561.23,8010.89
Gram,Gujarat,2019,405050,635118,1568,4875,2.93460274,2520.52,4090
Gram,Haryana,2019,43970,47136,1072,4875,1.095753425,2487.49,5049.79
Gram,Himachal Pradesh,2019,394,422,1070,4875,3.314136986,2629.53,7835
Gram,Jammu And Kashmir,2019,9,3,300,4875,3.29139726,2874.01,8160.57
Gram,Jharkhand,2019,230073,275397,1197,4875,3.205917808,2473.27,4561.01
Gram,Karnataka,2019,864000,675648,782,4875,3.678,2820,4823.981
Gram,Madhya Pradesh,2019,1926000,2729142,1417,4875,3.862794521,2284,4475.18
Gram,Maharashtra,2019,2043210,2239358,1096,4875,4.069369863,2689,4614.55
Gram,Manipur,2019,759,696,917,4875,2.90739726,2675.85,6565.78
Gram,Meghalaya,2019,1860,1994,1072,4875,10.57309589,3184.12,4327.53
Gram,Nagaland,2019,760,640,842,4875,4.291726027,2995.8,6219.79
Gram,Odisha,2019,27820,21672,779,4875,4.413178082,2860.2,4885.46
Gram,Punjab,2019,1500,1829,1219,4875,1.941232877,2788.14,3825
Gram,Rajasthan,2019,2463050,2657631,1079,4875,1.792739726,2084,4502.236
Gram,Tamil Nadu,2019,5550,5139,926,4875,2.565068493,2767.33,6803
Gram,Telangana,2019,130000,199160,1532,4875,3.049972603,2375.91,4744.32
Gram,Tripura,2019,291,180,619,4875,6.345205479,3664.39,7417
Gram,Uttar Pradesh,2019,621000,851391,1371,4875,2.394109589,3084,4484.86
Gram,Uttarakhand,2019,1000,763,763,4875,4.201315068,2996.1,5518.23
Gram,West Bengal,2019,36103,47403,1313,4875,4.697041096,2731.83,4590.08
Groundnut,Andaman And Nicobar Islands,2019,0,0,0,5090,0,3589.95,6186.82
Groundnut,Andhra Pradesh,2019,661000,848787,1284,5090,2.567726027,2598,4640.338333
Groundnut,Arunachal Pradesh,2019,923,905,981,5090,7.009479452,3206.58,5138.2
Groundnut,Bihar,2019,841,858,1020,5090,3.32509589,2875.67,6826
Groundnut,Chhattisgarh,2019,27440,41819,1524,5090,3.877863014,3002.4,5149
Groundnut,Goa,2019,170,426,2503,5090,12.76778082,3446.3,6751.42
Groundnut,Gujarat,2019,1688700,4645522,2751,5090,2.93460274,3341,4602.77
Groundnut,Haryana,2019,2800,3363,1201,5090,1.095753425,2910.33,4409
Groundnut,Himachal Pradesh,2019,44,51,1160,5090,3.314136986,2898.21,8035
Groundnut,Jharkhand,2019,26088,28775,1103,5090,3.205917808,2475.01,4533.76
Groundnut,Karnataka,2019,504000,502813,998,5090,3.678,4543,4876.5475
Groundnut,Kerala,2019,117,147,1256,5090,7.62169863,3515.93,6976.96
Groundnut,Madhya Pradesh,2019,221000,350659,1587,5090,3.862794521,3150.24,4770.86
Groundnut,Maharashtra,2019,290760,308989,1063,5090,4.069369863,3213,4849.3975
Groundnut,Manipur,2019,2710,2352,868,5090,2.90739726,2876.75,4684.51
Groundnut,Nagaland,2019,2050,2148,1048,5090,4.291726027,3085.5,4438.79
Groundnut,Odisha,2019,29430,43294,1471,5090,4.413178082,3077.84,4625.08
Groundnut,Puducherry,2019,253,759,3000,5090,3.491369863,3495.57,4265
Groundnut,Punjab,2019,1800,3564,1980,5090,1.941232877,3052.55,3850
Groundnut,Rajasthan,2019,739022,1619326,2191,5090,1.792739726,1534,4018
Groundnut,Tamil Nadu,2019,346650,1032995,2980,5090,2.565068493,4093,5837
Groundnut,Telangana,2019,111000,265368,2391,5090,3.049972603,2997.75,4611.04
Groundnut,Tripura,2019,2367,3360,1420,5090,6.345205479,3355.85,3848.06
Groundnut,Uttar Pradesh,2019,94000,88548,942,5090,2.394109589,2364.83,5622.9125
Groundnut,Uttarakhand,2019,1000,1089,1089,5090,4.201315068,3043.61,4783.84
Groundnut,West Bengal,2019,71030,156097,2198,5090,4.697041096,3101.21,4567.76
Guarseed,Gujarat,2019,321725.0794,1000969.506,1836.691854,1772.85,2.93460274,1581.96,2428.33
Guarseed,Haryana,2019,433870.7252,1630349.072,2273.941726,1771.2,1.095753425,1446.43,2552.2
Guarseed,Punjab,2019,382307.5882,1340968.378,2072.899814,1771.2,1.941232877,1521.13,2509.87
Guarseed,Rajasthan,2019,391363.7192,1391792.855,2108.209184,1771.2,1.792739726,1499.37,2613.8
Guarseed,Uttar Pradesh,2019,354688.0595,1185963.1,1965.21275,1771.2,2.394109589,1552.64,2451
Jowar,Andhra Pradesh,2019,155000,389111,2510,2550,2.567726027,1486,2406.1
Jowar,Bihar,2019,631,673,1067,2550,3.32509589,1674.02,906
Jowar,Chhattisgarh,2019,2900,4069,1403,2550,3.877863014,1623.4,2275
Jowar,Delhi,2019,3150,3000,952,2550,1.368410959,1556.31,1891.78
Jowar,Gujarat,2019,48920,67159,1373,2550,2.93460274,1588.01,2332
Jowar,Haryana,2019,29900,15787,528,2550,1.095753425,1625.53,2143.86
Jowar,Jharkhand,2019,1796,1349,751,2550,3.205917808,1609.18,2093.61
Jowar,Karnataka,2019,826600,986981,1194,2550,3.678,1928,2278.565
Jowar,Karnataka,2019,826600,986981,1194,2550,3.678,1928,2278.565
Jowar,Karnataka,2019,826600,986981,1194,2550,3.678,1928,2278.565
Jowar,Kerala,2019,285,235,825,2550,7.62169863,1657.01,2313.66
Jowar,Madhya Pradesh,2019,108000,165132,1529,2550,3.862794521,1311,2477.62
Jowar,Maharashtra,2019,2290580,1807510,789,2550,4.069369863,1529,2535.767381
Jowar,Nagaland,2019,280,270,964,2550,4.291726027,1712.09,2023.35
Jowar,Odisha,2019,5810,3678,633,2550,4.413178082,1702.95,2538.23
Jowar,Puducherry,2019,411767.3086,2454306.429,7261.79473,2550,3.491369863,1219.67,2251.06
Jowar,Rajasthan,2019,642840,455774,709,2550,1.792739726,1119,1844
Jowar,Tamil Nadu,2019,450000,520065,1156,2550,2.565068493,1396,2156.26
Jowar,Telangana,2019,88000,123855,1407,2550,3.049972603,1406.72,2430.03
Jowar,Uttar Pradesh,2019,168000,226632,1349,2550,2.394109589,1415.15,2377.45
Jowar,West Bengal,2019,180,95,528,2550,4.697041096,1711.87,2597.17
Jute,Assam,2019,64247,791666,2218,3950,5.826712329,2706,2105
Jute,Bihar,2019,48390,646813,2406,3950,3.32509589,1696,2683.72
Jute,Meghalaya,2019,6680,68544,1847,3950,10.57309589,2662.12,2942.88
Jute,Nagaland,2019,3080,32614,1906,3950,4.291726027,2404.89,3065.99
Jute,Odisha,2019,150,1808,2169,3950,4.413178082,2415.16,2859.74
Jute,Tripura,2019,620,3170,920,3950,6.345205479,3061.08,2884.81
