Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Bajra,Andhra Pradesh,2019,25000,58200,2328,2000,2.567726027,189.45
Bajra,Bihar,2019,3159,3582,1134,2000,3.32509589,189.45
Bajra,Chhattisgarh,2019,0,0,0,2000,3.877863014,189.45
Bajra,Dadra And Nagar Haveli,2019,52314.87075,1227439.268,9375.547154,2000,10.46120548,189.45
Bajra,Delhi,2019,1475,3240,2197,2000,1.368410959,189.45
Bajra,Gujarat,2019,435250,913155,2098,2000,2.93460274,189.45
Bajra,Haryana,2019,492800,1019110,2068,2000,1.095753425,189.45
Bajra,Himachal Pradesh,2019,107,109,1020,2000,3.314136986,189.45
Bajra,Jammu And Kashmir,2019,9779,5819,595,2000,3.29139726,189.45
Bajra,Jharkhand,2019,288,205,711,2000,3.205917808,189.45
Bajra,Karnataka,2019,322000,367080,1140,2000,3.678,189.45
Bajra,Kerala,2019,225487.4774,2199312.043,10050.73788,2000,7.62169863,189.45
Bajra,Madhya Pradesh,2019,295890,656580,2219,2000,3.862794521,189.45
Bajra,Maharashtra,2019,672780,511986,761,2000,4.069369863,189.45
Bajra,Nagaland,2019,710,720,1014,2000,4.291726027,189.45
Bajra,Odisha,2019,1870,1159,620,2000,4.413178082,189.45
Bajra,Puducherry,2019,22,57,2591,2000,3.491369863,189.45
Bajra,Punjab,2019,500,318,635,2000,1.941232877,189.45
Bajra,Rajasthan,2019,4287170,4685877,1093,2000,1.792739726,189.45
Bajra,Tamil Nadu,2019,67490,185125,2743,2000,2.565068493,189.45
Bajra,Telangana,2019,9000,10422,1158,2000,3.049972603,189.45
Bajra,Uttar Pradesh,2019,917000,1939455,2115,2000,2.394109589,189.45
Bajra,West Bengal,2019,68,27,401,2000,4.697041096,189.45
Barley,Bihar,2019,7449,10198,1369,1525,3.32509589,168.1083333
Barley,Chhattisgarh,2019,1670,1017,609,1525,3.877863014,168.1083333
Barley,Delhi,2019,60,180,3000,1525,1.368410959,168.1083333
Barley,Haryana,2019,12120,46504,3837,1525,1.095753425,168.1083333
Barley,Himachal Pradesh,2019,20404,30810,1510,1525,3.314136986,168.1083333
Barley,Jammu And Kashmir,2019,7488,4485,599,1525,3.29139726,168.1083333
Barley,Ladakh,2019,0,0,0,1525,1.420876712,168.1083333
Barley,Madhya Pradesh,2019,30000,63930,2131,1525,3.862794521,168.1083333
Barley,Punjab,2019,6200,22593,3644,1525,1.941232877,168.1083333
Barley,Rajasthan,2019,301240,979331,3251,1525,1.792739726,168.1083333
Barley,Sikkim,2019,401,462,1151,1525,8.967835616,168.1083333
Barley,Uttar Pradesh,2019,167000,523044,3132,1525,2.394109589,168.1083333
Barley,Uttarakhand,2019,24000,34344,1431,1525,4.201315068,168.1083333
Barley,West Bengal,2019,278,599,2155,1525,4.697041096,168.1083333
Castorseed,Andhra Pradesh,2019,38000,25992,684,5556,2.567726027,121.025
Castorseed,Assam,2019,748,338,452,5556,5.826712329,121.025
Castorseed,Bihar,2019,87,84,966,5525,3.32509589,121.025
Castorseed,Gujarat,2019,736590,1431931,1944,1909.8,2.93460274,121.025
Castorseed,Haryana,2019,4200,4318,1028,5517.65,1.095753425,121.025
Castorseed,Jharkhand,2019,58,34,594,5556,3.205917808,121.025
Castorseed,Karnataka,2019,4000,3880,970,5572.57,3.678,121.025
Castorseed,Madhya Pradesh,2019,7000,2730,390,5556,3.862794521,121.025
Castorseed,Maharashtra,2019,10630,3242,305,5556,4.069369863,121.025
Castorseed,Meghalaya,2019,70,63,903,5556,10.57309589,121.025
Castorseed,Nagaland,2019,360,240,667,5556,4.291726027,121.025
Castorseed,Odisha,2019,6790,4244,625,5556,4.413178082,121.025
Castorseed,Rajasthan,2019,204318,326500,1598,4527.75,1.792739726,121.025
Castorseed,Tamil Nadu,2019,5260,1641,312,5556,2.565068493,121.025
Castorseed,Telangana,2019,28000,36680,1310,5511.4,3.049972603,121.025
Cotton,Andhra Pradesh,2019,657000,2508000,649,5550,2.567726027,117.875
Cotton,Assam,2019,0,0,0,5550,5.826712329,117.875
Cotton,Chhattisgarh,2019,0,0,0,5550,3.877863014,117.875
Cotton,Gujarat,2019,2655000,8617000,552,5550,2.93460274,117.875
Cotton,Haryana,2019,723000,2484000,584,5550,1.095753425,117.875
Cotton,Karnataka,2019,817000,2330000,485,5550,3.678,117.875
Cotton,Kerala,2019,0,0,0,5550,7.62169863,117.875
Cotton,Madhya Pradesh,2019,650000,1646000,430,5550,3.862794521,117.875
Cotton,Maharashtra,2019,4491000,6639000,251,5550,4.069369863,117.875
Cotton,Meghalaya,2019,0,0,0,5550,10.57309589,117.875
Cotton,Mizoram,2019,0,0,0,5550,5.126410959,117.875
Cotton,Nagaland,2019,0,0,0,5550,4.291726027,117.875
Cotton,Odisha,2019,170000,579000,579,5550,4.413178082,117.875
Cotton,Puducherry,2019,0,0,0,5550,3.491369863,117.875
Cotton,Punjab,2019,248000,1206000,827,5550,1.941232877,117.875
Cotton,Rajasthan,2019,760000,2788000,624,5550,1.792739726,117.875
Cotton,Tamil Nadu,2019,170000,418000,418,5550,2.565068493,117.875
Cotton,Telangana,2019,2127000,6833000,546,5550,3.049972603,117.875
