Crop,State,year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Bajra,Andhra Pradesh,2019,25000.00,58200.00,2328.00,2000,2.567726027,189.45
Bajra,Bihar,2019,3159.00,3582.00,1134.00,2000,3.32509589,189.45
Bajra,Chhattisgarh,2019,0.00,0.00,0.00,2000,3.877863014,189.45
Bajra,Dadra And Nagar Haveli,2019,52314.87,1227439.27,9375.55,2000,10.46120548,189.45
Bajra,Delhi,2019,1475.00,3240.00,2197.00,2000,1.368410959,189.45
Bajra,Gujarat,2019,435250.00,913155.00,2098.00,2000,2.93460274,189.45
Bajra,Haryana,2019,492800.00,1019110.00,2068.00,2000,1.095753425,189.45
Bajra,Himachal Pradesh,2019,107.00,109.00,1020.00,2000,3.314136986,189.45
Bajra,Jammu And Kashmir,2019,9779.00,5819.00,595.00,2000,3.29139726,189.45
Bajra,Jharkhand,2019,288.00,205.00,711.00,2000,3.205917808,189.45
Bajra,Karnataka,2019,322000.00,367080.00,1140.00,2000,3.678,189.45
Bajra,Kerala,2019,225487.48,2199312.04,10050.74,2000,7.62169863,189.45
Bajra,Madhya Pradesh,2019,295890.00,656580.00,2219.00,2000,3.862794521,189.45
Bajra,Maharashtra,2019,672780.00,511986.00,761.00,2000,4.069369863,189.45
Bajra,Nagaland,2019,710.00,720.00,1014.00,2000,4.291726027,189.45
Bajra,Odisha,2019,1870.00,1159.00,620.00,2000,4.413178082,189.45
Bajra,Puducherry,2019,22.00,57.00,2591.00,2000,3.491369863,189.45
Bajra,Punjab,2019,500.00,318.00,635.00,2000,1.941232877,189.45
Bajra,Rajasthan,2019,4287170.00,4685877.00,1093.00,2000,1.792739726,189.45
Bajra,Tamil Nadu,2019,67490.00,185125.00,2743.00,2000,2.565068493,189.45
Bajra,Telangana,2019,9000.00,10422.00,1158.00,2000,3.049972603,189.45
Bajra,Uttar Pradesh,2019,917000.00,1939455.00,2115.00,2000,2.394109589,189.45
Bajra,West Bengal,2019,68.00,27.00,401.00,2000,4.697041096,189.45
Barley,Bihar,2019,7449.00,10198.00,1369.00,1525,3.32509589,168.1083333
Barley,Chhattisgarh,2019,1670.00,1017.00,609.00,1525,3.877863014,168.1083333
Barley,Delhi,2019,60.00,180.00,3000.00,1525,1.368410959,168.1083333
Barley,Haryana,2019,12120.00,46504.00,3837.00,1525,1.095753425,168.1083333
Barley,Himachal Pradesh,2019,20404.00,30810.00,1510.00,1525,3.314136986,168.1083333
Barley,Jammu And Kashmir,2019,7488.00,4485.00,599.00,1525,3.29139726,168.1083333
Barley,Ladakh,2019,0.00,0.00,0.00,1525,1.420876712,168.1083333
Barley,Madhya Pradesh,2019,30000.00,63930.00,2131.00,1525,3.862794521,168.1083333
Barley,Punjab,2019,6200.00,22593.00,3644.00,1525,1.941232877,168.1083333
Barley,Rajasthan,2019,301240.00,979331.00,3251.00,1525,1.792739726,168.1083333
Barley,Sikkim,2019,401.00,462.00,1151.00,1525,8.967835616,168.1083333
Barley,Uttar Pradesh,2019,167000.00,523044.00,3132.00,1525,2.394109589,168.1083333
Barley,Uttarakhand,2019,24000.00,34344.00,1431.00,1525,4.201315068,168.1083333
Barley,West Bengal,2019,278.00,599.00,2155.00,1525,4.697041096,168.1083333
Castorseed,Andhra Pradesh,2019,38000.00,25992.00,684.00,5556,2.567726027,121.025
Castorseed,Assam,2019,748.00,338.00,452.00,5556,5.826712329,121.025
Castorseed,Bihar,2019,87.00,84.00,966.00,5525,3.32509589,121.025
Castorseed,Gujarat,2019,736590.00,1431931.00,1944.00,1910,2.93460274,121.025
Castorseed,Haryana,2019,4200.00,4318.00,1028.00,5518,1.095753425,121.025
Castorseed,Jharkhand,2019,58.00,34.00,594.00,5556,3.205917808,121.025
Castorseed,Karnataka,2019,4000.00,3880.00,970.00,5573,3.678,121.025
Castorseed,Madhya Pradesh,2019,7000.00,2730.00,390.00,5556,3.862794521,121.025
Castorseed,Maharashtra,2019,10630.00,3242.00,305.00,5556,4.069369863,121.025
Castorseed,Meghalaya,2019,70.00,63.00,903.00,5556,10.57309589,121.025
Castorseed,Nagaland,2019,360.00,240.00,667.00,5556,4.291726027,121.025
Castorseed,Odisha,2019,6790.00,4244.00,625.00,5556,4.413178082,121.025
Castorseed,Rajasthan,2019,204318.00,326500.00,1598.00,4528,1.792739726,121.025
Castorseed,Tamil Nadu,2019,5260.00,1641.00,312.00,5556,2.565068493,121.025
Castorseed,Telangana,2019,28000.00,36680.00,1310.00,5511,3.049972603,121.025
Cotton,Andhra Pradesh,2019,657000.00,2508000.00,649.00,5550,2.567726027,117.875
Cotton,Assam,2019,0.00,0.00,0.00,5550,5.826712329,117.875
Cotton,Chhattisgarh,2019,0.00,0.00,0.00,5550,3.877863014,117.875
Cotton,Gujarat,2019,2655000.00,8617000.00,552.00,5550,2.93460274,117.875
Cotton,Haryana,2019,723000.00,2484000.00,584.00,5550,1.095753425,117.875
Cotton,Karnataka,2019,817000.00,2330000.00,485.00,5550,3.678,117.875
Cotton,Kerala,2019,0.00,0.00,0.00,5550,7.62169863,117.875
Cotton,Madhya Pradesh,2019,650000.00,1646000.00,430.00,5550,3.862794521,117.875
Cotton,Maharashtra,2019,4491000.00,6639000.00,251.00,5550,4.069369863,117.875
Cotton,Meghalaya,2019,0.00,0.00,0.00,5550,10.57309589,117.875
Cotton,Mizoram,2019,0.00,0.00,0.00,5550,5.126410959,117.875
Cotton,Nagaland,2019,0.00,0.00,0.00,5550,4.291726027,117.875
Cotton,Odisha,2019,170000.00,579000.00,579.00,5550,4.413178082,117.875
Cotton,Puducherry,2019,0.00,0.00,0.00,5550,3.491369863,117.875
Cotton,Punjab,2019,248000.00,1206000.00,827.00,5550,1.941232877,117.875
Cotton,Rajasthan,2019,760000.00,2788000.00,624.00,5550,1.792739726,117.875
Cotton,Tamil Nadu,2019,170000.00,418000.00,418.00,5550,2.565068493,117.875
Cotton,Telangana,2019,2127000.00,6833000.00,546.00,5550,3.049972603,117.875
Cotton,Tripura,2019,0.00,0.00,0.00,5550,6.345205479,117.875
Cotton,Uttar Pradesh,2019,0.00,0.00,0.00,5550,2.394109589,117.875
Cotton,West Bengal,2019,0.00,0.00,0.00,5550,4.697041096,117.875
Gram,Andhra Pradesh,2019,459000.00,559062.00,1218.00,4875,2.567726027,145.825
Gram,Assam,2019,2176.00,1519.00,698.00,4875,5.826712329,145.825
Gram,Bihar,2019,52802.00,38545.00,730.00,4875,3.32509589,145.825
Gram,Chhattisgarh,2019,381770.00,88189.00,231.00,4875,3.877863014,145.825
Gram,Delhi,2019,2.00,4.00,2000.00,4875,1.368410959,145.825
Gram,Gujarat,2019,405050.00,635118.00,1568.00,4875,2.93460274,145.825
Gram,Haryana,2019,43970.00,47136.00,1072.00,4875,1.095753425,145.825
Gram,Himachal Pradesh,2019,394.00,422.00,1070.00,4875,3.314136986,145.825
Gram,Jammu And Kashmir,2019,9.00,3.00,300.00,4875,3.29139726,145.825
Gram,Jharkhand,2019,230073.00,275397.00,1197.00,4875,3.205917808,145.825
Gram,Karnataka,2019,864000.00,675648.00,782.00,4875,3.678,145.825
Gram,Madhya Pradesh,2019,1926000.00,2729142.00,1417.00,4875,3.862794521,145.825
Gram,Maharashtra,2019,2043210.00,2239358.00,1096.00,4875,4.069369863,145.825
Gram,Manipur,2019,759.00,696.00,917.00,4875,2.90739726,145.825
Gram,Meghalaya,2019,1860.00,1994.00,1072.00,4875,10.57309589,145.825
Gram,Nagaland,2019,760.00,640.00,842.00,4875,4.291726027,145.825
Gram,Odisha,2019,27820.00,21672.00,779.00,4875,4.413178082,145.825
Gram,Punjab,2019,1500.00,1829.00,1219.00,4875,1.941232877,145.825
Gram,Rajasthan,2019,2463050.00,2657631.00,1079.00,4875,1.792739726,145.825
Gram,Tamil Nadu,2019,5550.00,5139.00,926.00,4875,2.565068493,145.825
Gram,Telangana,2019,130000.00,199160.00,1532.00,4875,3.049972603,145.825
Gram,Tripura,2019,291.00,180.00,619.00,4875,6.345205479,145.825
Gram,Uttar Pradesh,2019,621000.00,851391.00,1371.00,4875,2.394109589,145.825
Gram,Uttarakhand,2019,1000.00,763.00,763.00,4875,4.201315068,145.825
Gram,West Bengal,2019,36103.00,47403.00,1313.00,4875,4.697041096,145.825
Groundnut,Andaman And Nicobar Islands,2019,0.00,0.00,0.00,5090,0,137.8083333
Groundnut,Andhra Pradesh,2019,661000.00,848787.00,1284.00,5090,2.567726027,137.8083333
Groundnut,Arunachal Pradesh,2019,923.00,905.00,981.00,5090,7.009479452,137.8083333
Groundnut,Bihar,2019,841.00,858.00,1020.00,5090,3.32509589,137.8083333
Groundnut,Chhattisgarh,2019,27440.00,41819.00,1524.00,5090,3.877863014,137.8083333
Groundnut,Goa,2019,170.00,426.00,2503.00,5090,12.76778082,137.8083333
Groundnut,Gujarat,2019,1688700.00,4645522.00,2751.00,5090,2.93460274,137.8083333
Groundnut,Haryana,2019,2800.00,3363.00,1201.00,5090,1.095753425,137.8083333
Groundnut,Himachal Pradesh,2019,44.00,51.00,1160.00,5090,3.314136986,137.8083333
Groundnut,Jharkhand,2019,26088.00,28775.00,1103.00,5090,3.205917808,137.8083333
Groundnut,Karnataka,2019,504000.00,502813.00,998.00,5090,3.678,137.8083333
Groundnut,Kerala,2019,117.00,147.00,1256.00,5090,7.62169863,137.8083333
Groundnut,Madhya Pradesh,2019,221000.00,350659.00,1587.00,5090,3.862794521,137.8083333
Groundnut,Maharashtra,2019,290760.00,308989.00,1063.00,5090,4.069369863,137.8083333
Groundnut,Manipur,2019,2710.00,2352.00,868.00,5090,2.90739726,137.8083333
Groundnut,Nagaland,2019,2050.00,2148.00,1048.00,5090,4.291726027,137.8083333
Groundnut,Odisha,2019,29430.00,43294.00,1471.00,5090,4.413178082,137.8083333
Groundnut,Puducherry,2019,253.00,759.00,3000.00,5090,3.491369863,137.8083333
Groundnut,Punjab,2019,1800.00,3564.00,1980.00,5090,1.941232877,137.8083333
Groundnut,Rajasthan,2019,739022.00,1619326.00,2191.00,5090,1.792739726,137.8083333
Groundnut,Tamil Nadu,2019,346650.00,1032995.00,2980.00,5090,2.565068493,137.8083333
Groundnut,Telangana,2019,111000.00,265368.00,2391.00,5090,3.049972603,137.8083333
Groundnut,Tripura,2019,2367.00,3360.00,1420.00,5090,6.345205479,137.8083333
Groundnut,Uttar Pradesh,2019,94000.00,88548.00,942.00,5090,2.394109589,137.8083333
Groundnut,Uttarakhand,2019,1000.00,1089.00,1089.00,5090,4.201315068,137.8083333
Groundnut,West Bengal,2019,71030.00,156097.00,2198.00,5090,4.697041096,137.8083333
Guarseed,Gujarat,2019,321725.08,1000969.51,1836.69,1773,2.93460274,171.2583333
Guarseed,Haryana,2019,433870.73,1630349.07,2273.94,1771,1.095753425,171.2583333
Guarseed,Punjab,2019,382307.59,1340968.38,2072.90,1771,1.941232877,171.2583333
Guarseed,Rajasthan,2019,391363.72,1391792.85,2108.21,1771,1.792739726,171.2583333
Guarseed,Uttar Pradesh,2019,354688.06,1185963.10,1965.21,1771,2.394109589,171.2583333
Jowar,Andhra Pradesh,2019,155000.00,389111.00,2510.00,2550,2.567726027,156.0166667
Jowar,Bihar,2019,631.00,673.00,1067.00,2550,3.32509589,156.0166667
Jowar,Chhattisgarh,2019,2900.00,4069.00,1403.00,2550,3.877863014,156.0166667
Jowar,Delhi,2019,3150.00,3000.00,952.00,2550,1.368410959,156.0166667
